Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"23","Belize","6750","Net Forest conversion","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","6351.884000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","3067.702000","5286.622000","5286.622000","5286.622000","5286.622000","5286.622000","5036.768000","5036.768000","5036.768000","5036.768000","5036.768000"
"23","Belize","6749","Forest land (total)","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","5282.112000","5282.112000","5282.112000","5282.112000","5282.112000","5031.356000","5031.356000","5031.356000","5031.356000","5031.356000"
"23","Belize","6749","Forest land (total)","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","6346.923000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","3062.741000","5282.112000","5282.112000","5282.112000","5282.112000","5282.112000","5031.356000","5031.356000","5031.356000","5031.356000","5031.356000"
"53","Benin","6646","Forest land","5110","Area","1000 ha","4835.150000","4765.150000","4695.150000","4625.150000","4555.150000","4485.150000","4415.150000","4345.150000","4275.150000","4205.150000","4135.150000","4085.150000","4035.150000","3985.150000","3935.150000","3885.150000","3835.150000","3785.150000","3735.150000","3685.150000","3635.150000","3585.150000","3535.150000","3485.150000","3435.150000","3385.150000","3335.150000","3285.150000","3235.150000","3185.150000","3135.150000"
"53","Benin","6646","Forest land","71952","Implied emission factor for CO2","tonnes CO2/ha","-0.015500","-0.015500","-0.015500","-0.015500","-0.015500","-0.015500","-0.015500","-0.015500","-0.015500","-0.015500","-0.015500","-0.023600","-0.023600","-0.023600","-0.023600","-0.023600","-0.023600","-0.023600","-0.023600","-0.023600","-0.023600","-0.025300","-0.025300","-0.025300","-0.025300","-0.025300","-0.013700","-0.013700","-0.013700","-0.013700","-0.013700"
"53","Benin","6646","Forest land","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-42.841300","-42.841300","-42.841300","-42.841300","-42.841300"
"53","Benin","6646","Forest land","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-64.262000","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-85.682700","-42.841300","-42.841300","-42.841300","-42.841300","-42.841300"
"53","Benin","6750","Net Forest conversion","5110","Area","1000 ha","70.300000","70.300000","70.300000","70.300000","70.300000","70.300000","70.300000","70.300000","70.300000","70.300000","70.300000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.400000","50.200000","50.200000","50.200000","50.200000","50.200000"
"53","Benin","6750","Net Forest conversion","71952","Implied emission factor for CO2","tonnes CO2/ha","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700","214.206700"
"53","Benin","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10753.174700","10753.174700","10753.174700","10753.174700","10753.174700"
"53","Benin","6750","Net Forest conversion","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","15058.728700","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10796.016000","10753.174700","10753.174700","10753.174700","10753.174700","10753.174700"
"53","Benin","6749","Forest land (total)","72332","Net emissions/removals (CO2) (Forest land)","gigagrams","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300"
"53","Benin","6749","Forest land (total)","72172","Net emissions/removal (CO2eq) (Forest land)","gigagrams","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","14994.466700","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300","10710.333300"
"17","Bermuda","6646","Forest land","5110","Area","1000 ha","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000"
